index,auc,accuracy,params,iteration
80,0.8016746202372792,0.8038840678627146,"{'eta': 0.05, 'max_depth': 8, 'gamma': 0.0, 'alpha': 0.01, 'lambda': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",80
69,0.8016000653545403,0.8010740054602182,"{'eta': 0.07, 'max_depth': 7, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",69
57,0.801542042964449,0.7935710803432137,"{'eta': 0.14, 'max_depth': 9, 'gamma': 0.0, 'alpha': 0.01, 'lambda': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",57
28,0.8014776245360915,0.79794998049922,"{'eta': 0.12, 'max_depth': 6, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",28
72,0.8014430829658388,0.7966994929797192,"{'eta': 0.2, 'max_depth': 8, 'gamma': 0.1, 'alpha': 5, 'lambda': 0.5, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",72
74,0.8011484673585055,0.7917033931357255,"{'eta': 0.07, 'max_depth': 9, 'gamma': 0.0, 'alpha': 0.1, 'lambda': 0.01, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",74
21,0.8009508111119583,0.7976365054602184,"{'eta': 0.07, 'max_depth': 7, 'gamma': 0.0, 'alpha': 10, 'lambda': 0.5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",21
64,0.8008743426873617,0.795766868174727,"{'eta': 0.14, 'max_depth': 6, 'gamma': 0.0, 'alpha': 10, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",64
83,0.8007092778151808,0.7979470553822152,"{'eta': 0.1, 'max_depth': 8, 'gamma': 0.2, 'alpha': 1, 'lambda': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",83
84,0.8005386573799356,0.7935740054602183,"{'eta': 0.1, 'max_depth': 8, 'gamma': 0.2, 'alpha': 0.5, 'lambda': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",84
36,0.800500408227624,0.7932595553822153,"{'eta': 0.14, 'max_depth': 8, 'gamma': 0.0, 'alpha': 10, 'lambda': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",36
3,0.8000904880169951,0.7929509555382216,"{'eta': 0.07, 'max_depth': 5, 'gamma': 0.1, 'alpha': 10, 'lambda': 0.01, 'subsample': 0.7, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",3
61,0.8000726820422077,0.7976326053042122,"{'eta': 0.01, 'max_depth': 9, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",61
93,0.7995991711084617,0.7967004680187207,"{'eta': 0.12, 'max_depth': 5, 'gamma': 0.2, 'alpha': 0.1, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",93
13,0.799505145841382,0.79576248049922,"{'eta': 0.1, 'max_depth': 5, 'gamma': 0.3, 'alpha': 10, 'lambda': 1e-05, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",13
31,0.7993300921000827,0.7967024180967238,"{'eta': 0.07, 'max_depth': 6, 'gamma': 0.1, 'alpha': 1, 'lambda': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",31
