index,auc,accuracy,params,iteration
69,0.7953987687659856,0.7910783931357255,"{'eta': 0.07, 'max_depth': 7, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",69
23,0.7952909188741961,0.7910832683307333,"{'eta': 0.07, 'max_depth': 4, 'gamma': 0.3, 'alpha': 1, 'lambda': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",23
45,0.7952796381653245,0.7904524180967238,"{'eta': 0.05, 'max_depth': 8, 'gamma': 0.2, 'alpha': 0.5, 'lambda': 0.5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",45
75,0.795108395894001,0.7835803432137285,"{'eta': 0.05, 'max_depth': 5, 'gamma': 0.3, 'alpha': 0.01, 'lambda': 10, 'subsample': 0.8, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",75
31,0.7948362469385736,0.7898298556942278,"{'eta': 0.07, 'max_depth': 6, 'gamma': 0.1, 'alpha': 1, 'lambda': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",31
61,0.7947558440931621,0.791072542901716,"{'eta': 0.01, 'max_depth': 9, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",61
60,0.7946669144151135,0.7870183307332294,"{'eta': 0.12, 'max_depth': 9, 'gamma': 0.4, 'alpha': 1, 'lambda': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",60
42,0.794624766855858,0.7985744929797192,"{'eta': 0.01, 'max_depth': 8, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",42
13,0.7946245865328938,0.7873283931357253,"{'eta': 0.1, 'max_depth': 5, 'gamma': 0.3, 'alpha': 10, 'lambda': 1e-05, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",13
93,0.7943314690052998,0.7901355304212168,"{'eta': 0.12, 'max_depth': 5, 'gamma': 0.2, 'alpha': 0.1, 'lambda': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",93
