train_payload,test_payload,metric,point,low95,high95
mRNA,mRNA,ROC_AUC,0.8254889975550121,0.7843659138967819,0.8644818030132823
mRNA,mRNA,PR_AUC,0.9182582554305723,0.8944578469590408,0.9399611968168924
mRNA,mRNA,Accuracy,0.8204667863554758,0.7953321364452424,0.8491921005385996
mRNA,mRNA,Balanced_Accuracy,0.7052798519791185,0.664434101,0.7516509862552039
mRNA,mRNA,Sensitivity,0.9511002444987775,0.9315403422982885,0.970721271
mRNA,mRNA,Specificity,0.4594594594594595,0.3783783783783784,0.5405405405405406
mRNA,mRNA,Precision,0.8294243070362474,0.8082395669672643,0.8527489177489177
mRNA,mRNA,F1,0.8861047835990888,0.8705512371916806,0.9031568044153369
mRNA,siRNA,ROC_AUC,0.48446779351301966,0.39743747144814984,0.5740063956144358
mRNA,siRNA,PR_AUC,0.8344185388328158,0.7957698696853458,0.8718503863242494
mRNA,siRNA,Accuracy,0.6625514403292181,0.6090534979423868,0.7119341563786008
mRNA,siRNA,Balanced_Accuracy,0.5018844221105527,0.43392816354499775,0.5662702718136134
mRNA,siRNA,Sensitivity,0.7537688442211056,0.6934673366834171,0.8090452261306532
mRNA,siRNA,Specificity,0.25,0.13636363636363635,0.38636363636363635
mRNA,siRNA,Precision,0.819672131,0.7930896918561996,0.8457142857142858
mRNA,siRNA,F1,0.7853403141361257,0.7445147725933781,0.8195876288659794
siRNA,mRNA,ROC_AUC,0.5498001057292011,0.4911930879534791,0.6071012026696623
siRNA,mRNA,PR_AUC,0.7613222775043991,0.7282853285083359,0.7988229873967666
siRNA,mRNA,Accuracy,0.7307001795332136,0.7199281867145422,0.739721724
siRNA,mRNA,Balanced_Accuracy,0.5040226656974823,0.4923759333906033,0.5187586730985264
siRNA,mRNA,Sensitivity,0.9877750611246944,0.9755501222493888,0.9975550122249389
siRNA,mRNA,Specificity,0.02027027,0,0.047297297
siRNA,mRNA,Precision,0.7358834244080146,0.7312614259597806,0.7417582417582418
siRNA,mRNA,F1,0.8434237995824635,0.8368200836820083,0.8491219266889877
siRNA,siRNA,ROC_AUC,0.7923709456372773,0.7209713339424394,0.8558988122430333
siRNA,siRNA,PR_AUC,0.9393216920881464,0.906557205,0.9645687615724748
siRNA,siRNA,Accuracy,0.8518518518518519,0.823045267,0.8766460905349793
siRNA,siRNA,Balanced_Accuracy,0.626313385,0.5581015874828689,0.6945580173595248
siRNA,siRNA,Sensitivity,0.9798994974874372,0.9597989949748744,0.9949748743718593
siRNA,siRNA,Specificity,0.2727272727272727,0.13636363636363635,0.4090909090909091
siRNA,siRNA,Precision,0.8590308370044053,0.8369098712446352,0.8823661897191308
siRNA,siRNA,F1,0.9154929577464789,0.8992974238875878,0.9299202693919632
RNA,RNA,ROC_AUC,0.8140547902960527,0.7801031815378289,0.8461747018914474
RNA,RNA,PR_AUC,0.9216040592759822,0.9022527537922085,0.9393827128608009
RNA,RNA,Accuracy,0.8225,0.80125,0.84375
RNA,RNA,Balanced_Accuracy,0.6907894736842105,0.6543311403508771,0.7261581688596491
RNA,RNA,Sensitivity,0.944078947,0.9259868421052632,0.962171053
RNA,RNA,Specificity,0.4375,0.3645833333333333,0.5052083333333334
RNA,RNA,Precision,0.841642229,0.8250683506811862,0.8582031607429967
RNA,RNA,F1,0.889922481,0.8772153293499001,0.9026701342015405
